Date,ZM,TSLA
4/18/2019,62,54.652
4/22/2019,65.699997,52.549999
4/23/2019,69,52.779999
4/24/2019,63.200001,51.731998
4/25/2019,65,49.526001
4/26/2019,66.220001,47.028
4/29/2019,68.169998,48.293999
4/30/2019,72.470001,47.737999
5/1/2019,72.760002,46.801998
5/2/2019,75.5,48.82
5/3/2019,79.18,51.006001
5/6/2019,78.239998,51.068001
5/7/2019,73.330002,49.411999
5/8/2019,77.68,48.967999
5/9/2019,75.209999,48.396
5/10/2019,79.629997,47.903999
5/13/2019,72.540001,45.402
5/14/2019,73.139999,46.462002
5/15/2019,79.760002,46.389999
5/16/2019,83.400002,45.666
5/17/2019,89.980003,42.206001
5/20/2019,84.669998,41.071999
5/21/2019,85.440002,41.015999
5/22/2019,82.43,38.546001
5/23/2019,78.760002,39.098
5/24/2019,76.25,38.125999
5/28/2019,77.769997,37.740002
5/29/2019,75.769997,37.972
5/30/2019,80.419998,37.644001
5/31/2019,79.730003,37.032001
6/3/2019,75.900002,35.793999
6/4/2019,78.739998,38.720001
6/5/2019,78.040001,39.318001
6/6/2019,79.43,41.189999
6/7/2019,94.050003,40.900002
6/10/2019,102,42.576
6/11/2019,94.870003,43.419998
6/12/2019,102.769997,41.852001
6/13/2019,100.949997,42.782001
6/14/2019,100.290001,42.984001
6/17/2019,98.110001,45.006001
6/18/2019,99.639999,44.948002
6/19/2019,102.389999,45.285999
6/20/2019,102.300003,43.924
6/21/2019,100.470001,44.372002
6/24/2019,89.410004,44.728001
6/25/2019,85.029999,43.952
6/26/2019,86.330002,43.854
6/27/2019,90.269997,44.568001
6/28/2019,88.790001,44.692001
7/1/2019,86.860001,45.433998
7/2/2019,85.129997,44.91
7/3/2019,90.449997,46.98
7/5/2019,91.879997,46.619999
7/8/2019,90.760002,46.068001
7/9/2019,90.93,46.012001
7/10/2019,92.720001,47.784
7/11/2019,91.400002,47.720001
7/12/2019,93.300003,49.015999
7/15/2019,99.800003,50.700001
7/16/2019,97.099998,50.476002
7/17/2019,99.730003,50.972
7/18/2019,95.190002,50.708
7/19/2019,93.379997,51.636002
7/22/2019,96.669998,51.136002
7/23/2019,97.389999,52.034
7/24/2019,95.940002,52.976002
7/25/2019,97.110001,45.764
7/26/2019,102.199997,45.608002
7/29/2019,96.470001,47.153999
7/30/2019,95.489998,48.452
7/31/2019,95.510002,48.321999
8/1/2019,95.099998,46.77
8/2/2019,93.660004,46.868
8/5/2019,89.690002,45.664001
8/6/2019,90.43,46.150002
8/7/2019,92.449997,46.683998
8/8/2019,95.769997,47.66
8/9/2019,94.199997,47.001999
8/12/2019,92.160004,45.801998
8/13/2019,95.449997,47
8/14/2019,92.650002,43.924
8/15/2019,90.639999,43.127998
8/16/2019,92.529999,43.987999
8/19/2019,93.169998,45.366001
8/20/2019,91.410004,45.172001
8/21/2019,93.010002,44.166
8/22/2019,93.879997,44.43
8/23/2019,91.629997,42.279999
8/26/2019,91.760002,43
8/27/2019,91.730003,42.816002
8/28/2019,90.160004,43.118
8/29/2019,90.870003,44.341999
8/30/2019,91.669998,45.122002
9/3/2019,92.459999,45.001999
9/4/2019,93.529999,44.136002
9/5/2019,92.690002,45.916
9/6/2019,85.410004,45.490002
9/9/2019,78.650002,46.358002
9/10/2019,80.349998,47.108002
9/11/2019,80.709999,49.419998
9/12/2019,81.529999,49.174
9/13/2019,78.849998,49.040001
9/16/2019,80.669998,48.562
9/17/2019,84.639999,48.958
9/18/2019,84.550003,48.698002
9/19/2019,84.620003,49.32
9/20/2019,82.629997,48.124001
9/23/2019,82.620003,48.245998
9/24/2019,80.019997,44.641998
9/25/2019,79.599998,45.740002
9/26/2019,79.75,48.512001
9/27/2019,76.040001,48.425999
9/30/2019,76.199997,48.174
10/1/2019,75.809998,48.938
10/2/2019,73.849998,48.625999
10/3/2019,76.830002,46.605999
10/4/2019,76.529999,46.285999
10/7/2019,76.989998,47.543999
10/8/2019,73.589996,48.009998
10/9/2019,72.860001,48.905998
10/10/2019,71.010002,48.948002
10/11/2019,71.349998,49.577999
10/14/2019,70.800003,51.391998
10/15/2019,71.110001,51.577999
10/16/2019,67.690002,51.950001
10/17/2019,67.029999,52.394001
10/18/2019,66.080002,51.389999
10/21/2019,65.769997,50.700001
10/22/2019,62,51.116001
10/23/2019,62.060001,50.936001
10/24/2019,64.519997,59.936001
10/25/2019,63.450001,65.625999
10/28/2019,66.559998,65.542
10/29/2019,65.489998,63.243999
10/30/2019,70,63.001999
10/31/2019,69.889999,62.984001
11/1/2019,70.389999,62.661999
11/4/2019,70.120003,63.493999
11/5/2019,66.889999,63.444
11/6/2019,66.830002,65.316002
11/7/2019,66.809998,67.108002
11/8/2019,69.849998,67.428001
11/11/2019,68.389999,69.017998
11/12/2019,68,69.986
11/13/2019,68.010002,69.222
11/14/2019,67.739998,69.870003
11/15/2019,70.010002,70.433998
11/18/2019,70.080002,69.998001
11/19/2019,69.639999,71.903999
11/20/2019,70.989998,70.444
11/21/2019,69.919998,70.966003
11/22/2019,73.160004,66.608002
11/25/2019,74.550003,67.267998
11/26/2019,75.160004,65.783997
11/27/2019,74.080002,66.258003
11/29/2019,74.5,65.987999
12/2/2019,68.93,66.973999
12/3/2019,70.019997,67.239998
12/4/2019,69.959999,66.606003
12/5/2019,69.669998,66.073997
12/6/2019,62.740002,67.178001
12/9/2019,65.940002,67.905998
12/10/2019,64.57,69.767998
12/11/2019,63.52,70.540001
12/12/2019,62.490002,71.935997
12/13/2019,63.540001,71.678001
12/16/2019,66.349998,76.300003
12/17/2019,66.169998,75.797997
12/18/2019,67.599998,78.629997
12/19/2019,68.18,80.807999
12/20/2019,66.93,81.117996
12/23/2019,66.150002,83.844002
12/24/2019,66.459999,85.050003
12/26/2019,67.449997,86.188004
12/27/2019,66.639999,86.075996
12/30/2019,66.790001,82.940002
12/31/2019,68.040001,83.666
1/2/2020,68.720001,86.052002
1/3/2020,67.279999,88.601997
1/6/2020,70.32,90.307999
1/7/2020,71.900002,93.811996
1/8/2020,72.550003,98.428001
1/9/2020,72.620003,96.267998
1/10/2020,73.089996,95.629997
